,State/UTs,Urban ,Rural,Total
0,Andhra Pradesh,2161,5228,7389
1,Arunachal Pradesh,57,51,108
2,Assam,1561,1458,3019
3,Bihar,2615,4116,6731
4,Chhattisgarh,959,3644,4603
5,Goa,58,225,283
6,Gujarat,2130,4596,6726
7,Haryana,1453,3231,4684
8,Himachal Pradesh,109,821,930
9,Jammu and Kashmir,214,548,762
10,Jharkhand,1336,2078,3414
11,Karnataka,2855,7205,10060
12,Kerala,1174,3009,4183
13,Madhya Pradesh,2897,7285,10182
14,Maharashtra,3409,8378,11787
15,Manipur,38,108,146
16,Meghalaya,65,104,169
17,Mizoram,27,19,46
18,Nagaland,17,7,24
19,Orissa,1181,3663,4844
20,Punjab,1596,2594,4190
21,Rajasthan,2231,7240,9471
22,Sikkim,18,43,61
23,Tamil Nadu,3570,6243,9813
24,Telangana,2742,3730,6472
25,Tripura,86,138,224
26,Uttarakhand,284,466,750
27,Uttar Pradesh,8454,11277,19731
28,West Bengal,1198,3922,5120
29,Andaman and Nicobar Islands,7,13,20
30,Chandigarh,94,6,100
31,Dadra and Nagar Haveli,8,40,48
32,Daman and Diu,6,17,23
33,Delhi,1341,92,1433
34,Lakshadweep,0,0,0
35,Puducherry,61,82,143
36,Total ,46012,91677,137689
